Player Id,Year,TD Passes,Passing Yards,Passes Attempted,Ints,Team
2543640,2016,0,461,73,0,HOU
2543640,2014,0,127,19,1,HOU
2555332,2016,1,150,21,1,LV
2552415,2015,0,0,1,0,WAS
2540175,2016,0,0,1,0,PIT
497278,2016,1,10,1,0,DAL
2495775,2014,0,0,1,0,SD
2506438,2014,0,6,1,0,KC
2508123,2015,3,370,57,1,HOU
2508123,2014,0,64,4,1,ATL
2508123,2013,0,113,22,2,HOU
497123,2015,1,128,11,0,WAS
497123,2014,4,1057,128,3,WAS
497123,2013,0,13,1,0,SF
2495863,2015,0,37,6,0,SEA
2495863,2014,0,0,1,0,SEA
2495863,2013,1,151,13,0,SEA
2540208,2014,0,0,1,1,PIT
2506053,2015,0,335,39,1,NO
2506053,2013,0,0,1,0,NO
2504775,2016,37,5208,673,15,NO
2504775,2015,32,4870,627,11,NO
2504775,2014,33,4952,659,17,NO
2504775,2013,39,5162,650,12,NO
2506121,2016,33,4386,578,21,SD
2506121,2015,29,4792,661,13,SD
2506121,2014,31,4286,570,18,SD
2506121,2013,32,4478,544,11,SD
2550256,2016,1,50,1,0,NO
2532887,2014,0,17,1,0,SEA
2532917,2015,4,779,104,6,DAL
2505268,2013,0,30,1,0,PIT
2542065,2016,0,50,15,0,LV
2542065,2015,2,142,32,1,LV
2542065,2014,1,129,19,2,LV
2542065,2013,8,1547,211,8,LV
2495341,2015,1,21,1,0,HOU
2495341,2014,1,32,2,0,JAX
2555260,2016,23,3667,459,4,DAL
2495186,2016,16,2241,331,4,SF
2495186,2015,6,1615,244,5,SF
2495186,2014,19,3369,478,10,SF
2495186,2013,21,3197,416,8,SF
2552466,2016,26,3426,451,9,TEN
2552466,2015,19,2818,370,10,TEN
2532975,2016,21,4219,546,11,SEA
2532975,2015,34,4024,483,8,SEA
2532975,2014,20,3475,452,7,SEA
2532975,2013,26,3357,407,9,SEA
2508061,2015,0,0,0,0,PIT
2508061,2014,1,20,2,0,PIT
2508061,2013,0,15,1,0,PIT
2543499,2016,28,3937,560,6,LV
2543499,2015,32,3987,573,13,LV
2543499,2014,21,3270,599,12,LV
2506340,2016,15,3502,489,8,KC
2506340,2015,20,3486,470,7,KC
2506340,2014,18,3265,464,6,KC
2506340,2013,23,3313,508,7,KC
2543488,2016,0,0,1,0,MIA
2543488,2015,0,9,1,0,MIA
2506364,2014,0,74,19,0,CIN
2506364,2013,11,2015,317,8,CLE
2506444,2014,18,3018,447,10,BUF
2506444,2013,2,398,51,2,DAL
2535663,2016,0,4,2,0,LA
2535663,2015,0,20,4,0,LA
2535663,2014,0,37,2,0,LA
2535663,2013,0,0,1,0,LA
2506106,2016,0,0,1,0,ARI
2506106,2013,0,0,1,0,ARI
79860,2016,24,4327,594,10,DET
79860,2015,32,4262,592,13,DET
79860,2014,22,4257,602,12,DET
79860,2013,29,4650,634,19,DET
2532970,2015,3,305,42,0,HOU
2532970,2015,2,738,98,2,DAL
2532970,2014,3,303,41,2,DAL
2532970,2013,9,1731,267,9,CLE
81284,2016,0,16,1,0,PHI
81284,2015,0,4,2,0,KC
81284,2014,0,157,28,0,KC
81284,2013,1,248,38,1,KC
2550252,2014,0,177,28,1,CLE
2537931,2014,0,0,1,0,CLE
2504833,2016,0,242,35,0,MIN
2504833,2015,0,15,7,0,MIN
2504833,2014,8,1657,229,7,LA
2533349,2015,1,547,94,3,CLE
2533349,2014,12,2001,284,9,LA
2543462,2015,7,1500,223,5,CLE
2543462,2014,0,175,35,2,CLE
2530747,2016,1,15,1,0,SEA
2495240,2016,17,3023,436,6,BUF
2495240,2015,20,3035,380,6,BUF
2495240,2013,0,2,5,1,BAL
2555259,2016,16,3782,607,14,PHI
2555227,2016,0,0,1,0,BUF
2531332,2016,0,41,9,0,CLE
2531332,2013,7,1798,272,11,LV
2504211,2016,28,3554,432,2,NE
2504211,2015,36,4770,624,7,NE
2504211,2014,33,4109,582,9,NE
2504211,2013,25,4343,628,11,NE
2495328,2013,0,30,1,0,NYJ
2649,2015,0,36,1,0,NE
2506481,2015,1,201,40,1,DET
497121,2013,4,1092,157,3,BUF
2543496,2016,0,0,0,0,NYG
2543496,2014,0,0,1,0,NYG
2533435,2016,1,2,1,0,KC
2541429,2015,0,7,2,0,HOU
2505076,2016,6,1100,165,6,CLE
2505076,2015,12,2109,292,4,CLE
2505076,2014,11,2206,327,14,TB
2505076,2013,13,1829,224,1,CHI
2534822,2014,0,25,1,0,PIT
2555261,2016,0,400,55,0,NE
2495824,2016,4,1059,137,5,CHI
2495824,2015,21,3659,483,11,CHI
2495824,2014,28,3812,561,18,CHI
2495824,2013,19,2621,355,12,CHI
2507282,2016,8,721,87,3,MIA
2507282,2015,0,14,1,0,MIA
2507282,2014,0,21,4,0,MIA
2507282,2013,0,53,6,2,MIA
2539336,2013,0,0,1,0,LA
310,2016,38,4944,534,7,ATL
310,2015,21,4591,614,16,ATL
310,2014,28,4694,628,14,ATL
310,2013,26,4515,651,17,ATL
2505587,2014,0,0,1,0,SF
2495748,2016,2,192,48,3,ARI
2495748,2015,0,104,25,2,ARI
2495748,2014,7,1711,240,5,ARI
367,2014,0,66,16,1,GB
367,2013,7,1146,166,4,GB
367,2013,1,246,34,1,LV
2533040,2014,1,79,3,0,CIN
2533040,2013,0,25,1,0,CIN
2534889,2014,0,39,8,0,NYJ
2534889,2013,1,156,31,1,NYJ
2504319,2014,0,10,1,0,HOU
2533033,2016,2,886,147,3,CLE
2533033,2014,4,1694,214,6,WAS
2533033,2013,16,3203,456,12,WAS
2532820,2016,25,4917,606,12,WAS
2532820,2015,29,4166,543,11,WAS
2532820,2014,10,1710,204,9,WAS
2532820,2013,4,854,155,7,WAS
2501078,2015,9,1690,256,5,IND
2501078,2014,2,301,44,0,IND
2501078,2013,0,130,12,1,IND
2540224,2013,1,2,1,0,TB
2539260,2014,0,0,1,0,JAX
2539260,2013,0,0,1,0,JAX
2532829,2013,0,34,7,0,ATL
2535890,2015,0,0,1,0,NO
2536049,2014,0,38,1,0,NYJ
2555263,2016,0,104,26,2,CLE
2555387,2016,6,1380,195,2,CLE
2507763,2014,0,0,1,0,MIA
2506613,2016,0,0,1,0,SEA
1037839,2013,0,-8,1,0,ATL
2552588,2016,0,17,10,1,GB
2535698,2016,0,0,1,0,DAL
80429,2016,0,0,1,0,KC
80429,2015,0,0,0,0,KC
2556477,2016,1,145,18,1,SEA
2534770,2015,0,0,1,0,HOU
2506109,2016,29,3819,509,13,PIT
2506109,2015,21,3938,469,16,PIT
2506109,2014,32,4952,608,9,PIT
2506109,2013,28,4261,584,14,PIT
2530524,2013,1,11,1,0,CLE
2505996,2016,26,4027,598,16,NYG
2505996,2015,35,4432,618,14,NYG
2505996,2014,30,4410,601,14,NYG
2505996,2013,18,3818,551,27,NYG
2552461,2016,0,0,1,0,CLE
4433,2013,0,22,1,0,LV
2501863,2015,9,2249,331,17,DEN
2501863,2014,39,4727,597,15,DEN
2501863,2013,55,5477,659,10,DEN
2539228,2016,0,131,26,0,BUF
2539228,2015,3,561,84,3,BUF
2539228,2014,5,838,131,3,BUF
2539228,2013,11,1972,306,9,BUF
2555419,2016,0,0,1,1,LA
2495207,2016,1,10,2,0,TEN
2532956,2016,19,2995,389,12,MIA
2532956,2015,24,4208,586,12,MIA
2532956,2014,27,4045,590,12,MIA
2532956,2013,24,3913,588,17,MIA
2495455,2016,19,3509,510,14,CAR
2495455,2015,35,3837,495,10,CAR
2495455,2014,18,3127,448,12,CAR
2495455,2013,24,3379,473,13,CAR
2555316,2016,2,497,83,1,DEN
2534571,2014,0,0,1,0,TB
2534571,2013,0,0,1,0,TB
2495143,2016,18,4206,563,8,CIN
2495143,2015,25,3250,386,7,CIN
2495143,2014,19,3398,481,17,CIN
2495143,2013,33,4293,586,20,CIN
2506895,2016,0,0,1,0,SD
2506895,2015,1,63,6,0,SD
2506895,2014,0,10,3,0,SD
2506895,2013,8,1673,242,7,LA
2346,2014,0,0,1,0,WAS
2539308,2016,8,1611,216,14,CHI
2539308,2014,0,0,1,0,PHI
2539308,2013,0,300,49,4,PHI
2553457,2016,18,3401,486,10,DEN
2532888,2016,9,2201,322,11,LA
2532888,2015,4,828,125,1,LA
2532888,2014,2,435,77,2,HOU
2532888,2013,9,1760,253,6,HOU
2543465,2015,14,3231,447,9,MIN
2543465,2014,14,2919,402,12,MIN
2533000,2014,0,19,1,0,JAX
81294,2016,6,1445,200,0,CHI
81294,2015,19,2606,369,7,HOU
81294,2014,12,3326,438,13,CLE
81294,2013,5,615,96,3,CLE
2530515,2015,0,4,1,0,BUF
2539961,2015,1,68,5,0,NYG
2539961,2014,0,60,5,0,NYG
497095,2016,20,3877,552,5,MIN
497095,2015,19,3725,532,14,PHI
497095,2013,14,1687,262,4,LA
2506017,2014,0,0,1,0,SF
2495215,2014,0,222,44,2,MIN
2495215,2013,7,1648,239,9,MIN
2552576,2016,0,19,6,1,LA
2552576,2015,0,31,7,0,LA
2506546,2016,2,453,53,5,CAR
2506546,2015,0,36,6,0,CAR
2506546,2014,5,701,97,0,CAR
2540267,2013,1,21,1,0,JAX
2555160,2016,0,0,1,0,IND
2555152,2016,0,16,1,0,DEN
2543477,2016,23,3905,625,16,JAX
2543477,2015,35,4428,606,18,JAX
2543477,2014,11,2908,475,17,JAX
2506871,2014,0,0,1,0,BUF
2536340,2016,0,0,1,0,BAL
382,2016,20,4317,672,15,BAL
382,2015,14,2791,413,12,BAL
382,2014,27,3986,554,12,BAL
382,2013,19,3912,614,22,BAL
2543767,2014,1,81,9,0,ARI
2505245,2016,26,4233,597,14,ARI
2505245,2015,35,4671,537,11,ARI
2505245,2014,11,1626,224,3,ARI
2505245,2013,24,4274,572,22,ARI
2533031,2016,31,4240,545,13,IND
2533031,2015,15,1881,293,12,IND
2533031,2014,40,4761,616,16,IND
2533031,2013,23,3822,570,9,IND
2506969,2015,0,-3,1,0,BAL
2532790,2016,0,0,1,0,SD
2507166,2014,0,10,1,0,ARI
2543475,2016,1,20,1,0,JAX
2555426,2016,0,96,11,1,BUF
2543715,2016,0,0,1,0,MIN
2553568,2016,1,2,1,0,CHI
2541903,2016,0,31,1,0,WAS
2495425,2016,1,216,37,2,IND
2495425,2015,0,4,1,0,GB
2495425,2013,1,717,90,5,GB
2532894,2015,1,58,10,0,IND
2532894,2014,2,562,93,4,ARI
2552033,2016,28,4090,567,18,TB
2552033,2015,22,4042,535,15,TB
2534870,2015,1,99,14,0,TEN
2541311,2014,0,27,2,0,DET
79858,2016,0,93,18,2,DAL
79858,2015,4,616,91,4,PHI
79858,2014,14,2418,309,11,PHI
2506581,2016,12,2710,403,17,NYJ
2506581,2015,31,3905,562,15,NYJ
2506581,2014,17,2483,312,8,HOU
2506581,2013,14,2454,350,12,TEN
2552369,2016,3,809,133,7,NYJ
284,2015,0,0,1,0,DAL
284,2014,0,0,1,0,LV
284,2013,1,16,1,0,LV
2532842,2016,3,410,55,0,KC
2532842,2015,7,2052,337,10,LA
2532842,2014,13,2163,311,10,PHI
2532842,2013,27,2891,317,2,PHI
2506255,2013,0,0,2,0,TB
2556612,2016,0,43,1,0,SEA
2507237,2014,0,7,3,0,TEN
2505562,2013,0,139,24,1,GB
2504531,2015,2,371,66,1,PIT
2504531,2014,3,604,121,2,NYJ
2504531,2013,5,1215,141,3,PHI
2543751,2016,0,22,5,0,CHI
2495443,2016,0,26,6,1,BAL
2495443,2015,2,566,97,2,BAL
2495443,2015,3,770,147,4,HOU
2495443,2014,2,400,75,2,HOU
2495189,2014,0,0,1,0,NYJ
2495189,2013,0,0,1,0,NYJ
2495441,2016,5,925,160,6,SF
2495441,2015,10,2031,282,7,SF
2495441,2014,1,38,7,0,SF
2495441,2013,1,481,86,7,JAX
2539335,2016,1,126,14,1,NYJ
2539335,2015,2,265,42,1,NYJ
2539335,2014,13,2525,367,13,NYJ
2539335,2013,12,3046,443,21,NYJ
2539287,2016,4,558,86,2,PIT
2539287,2015,3,513,55,4,PIT
2555334,2016,5,1089,205,7,LA
2495504,2013,0,17,1,0,ARI
2543746,2016,0,0,1,0,PHI
2506562,2016,2,284,51,2,TEN
2506562,2015,5,1276,204,7,DAL
2506562,2014,3,425,71,4,MIN
2506562,2013,11,1807,254,9,MIN
81300,2013,0,57,16,2,NYG
2543497,2015,6,854,119,2,CIN
252,2014,3,492,78,1,JAX
252,2013,13,3241,503,14,JAX
2543801,2016,4,502,63,0,NE
2543801,2015,0,6,4,0,NE
2543801,2014,1,182,27,0,NE
79555,2014,1,5,1,0,HOU
2539275,2016,1,75,11,0,TB
2539275,2014,10,1417,203,6,TB
2539275,2013,19,2608,416,9,TB
2550636,2015,0,3,1,0,KC
2506363,2016,40,4428,610,7,GB
2506363,2015,31,3821,572,8,GB
2506363,2014,38,4381,520,5,GB
2506363,2013,17,2536,290,6,GB
2533436,2016,15,2957,510,16,HOU
2533436,2015,10,1967,275,6,DEN
2533436,2014,1,52,10,0,DEN
2533436,2013,0,95,16,0,DEN
