Player Id,Year,Rushing TDs,Rushing Yards,Rushing Attempts,Fumbles,Team
2543640,2016,0,12,6,0,HOU
2543640,2014,0,-6,6,2,HOU
81306,2016,0,48,3,0,BUF
81306,2014,0,21,3,0,CIN
2555230,2016,2,179,33,0,MIA
2535716,2013,0,-3,2,0,NYJ
2543836,2015,0,-3,1,0,DET
2534789,2016,0,7,2,0,PIT
2534789,2013,0,215,69,0,LA
2552487,2016,0,0,1,0,LV
2552487,2015,0,-3,3,0,LV
784,2013,0,0,1,0,TEN
2556118,2016,1,265,90,0,DET
497236,2016,0,0,1,0,SEA
2530690,2016,0,138,38,1,SF
2530690,2015,0,140,27,0,SF
2530690,2015,0,49,21,1,SEA
2530690,2014,0,64,16,0,GB
2543565,2016,0,87,18,0,SD
2543565,2015,1,257,88,0,NYG
2543565,2014,7,721,217,1,NYG
238498,2016,0,57,12,1,NE
238498,2015,0,23,3,0,NE
238498,2014,0,94,10,0,NE
238498,2013,0,11,2,0,NE
2495227,2013,0,73,20,0,NYG
2543611,2014,0,-12,1,1,CHI
2552415,2016,0,-2,2,0,WAS
2552415,2015,0,2,2,0,WAS
2539303,2016,0,15,7,0,MIN
2539303,2015,2,10,6,0,MIN
2555348,2016,0,0,3,0,HOU
2552374,2016,0,101,18,0,DET
2552374,2015,2,597,143,4,DET
2495450,2014,0,2,2,1,CIN
71269,2014,0,4,1,0,SF
2540175,2016,7,1268,261,3,PIT
2540175,2015,3,556,113,0,PIT
2540175,2014,8,1361,290,0,PIT
2540175,2013,8,860,244,1,PIT
2552631,2016,0,34,9,0,BAL
2552631,2015,1,514,137,2,BAL
2543498,2016,0,30,6,0,NO
2543498,2015,0,18,8,0,NO
2543498,2014,1,73,7,0,NO
497278,2013,0,1,1,0,DAL
2553642,2016,0,0,1,2,MIA
2550512,2016,3,115,35,0,MIA
2550512,2015,0,59,16,1,MIA
2550512,2014,0,122,36,0,MIA
2507164,2016,0,72,37,1,MIN
2507164,2015,11,1485,327,6,MIN
2507164,2014,0,75,21,0,MIN
2507164,2013,10,1266,279,3,MIN
2530658,2015,0,34,2,0,DET
2532960,2014,0,4,1,0,NO
2543695,2016,0,9,4,0,HOU
2543695,2015,0,33,6,0,HOU
2543743,2016,6,988,217,4,SF
2543743,2015,3,470,115,1,SF
2543743,2014,4,333,83,1,SF
2495775,2013,0,4,2,0,SD
2555209,2016,0,19,3,0,BAL
2533012,2013,0,63,13,0,IND
2508123,2015,0,0,6,0,HOU
2508123,2013,0,0,1,0,HOU
2552375,2016,2,144,36,0,CAR
2552375,2015,1,183,45,0,CAR
2533460,2016,7,164,47,0,IND
2533460,2015,1,139,32,0,DAL
2533460,2015,0,60,18,0,CLE
2533460,2014,0,310,74,1,SEA
2533460,2013,0,264,77,0,SEA
71333,2013,0,0,1,1,CIN
2495331,2013,0,-4,3,0,WAS
497123,2015,0,-3,3,0,WAS
497123,2014,1,66,16,2,WAS
497123,2013,0,-6,6,0,SF
2495863,2015,0,-8,8,0,SEA
2495863,2013,1,1,4,0,SEA
2540208,2014,0,0,1,1,PIT
2506053,2013,0,-4,3,0,NO
2504775,2016,2,20,23,0,NO
2504775,2015,1,14,24,0,NO
2504775,2014,1,68,27,2,NO
2504775,2013,3,52,35,0,NO
2552453,2016,8,520,118,1,ATL
2552453,2015,1,392,87,3,ATL
2550481,2016,2,111,30,0,NYG
2550481,2015,1,153,36,0,NYG
2550481,2014,1,21,5,0,NYG
2550481,2014,0,2,4,0,MIA
2506121,2016,0,35,14,2,SD
2506121,2015,0,28,17,2,SD
2506121,2014,0,102,37,4,SD
2506121,2013,0,72,28,2,SD
2550284,2014,0,10,5,0,PHI
2532865,2014,0,20,2,0,IND
2532865,2013,0,6,2,0,IND
2532887,2014,0,15,2,0,SEA
2506874,2016,1,-3,12,1,BUF
2506874,2015,0,28,8,0,SF
2506874,2014,2,297,76,0,DET
2506874,2013,4,1006,223,5,DET
2532923,2014,1,23,1,0,NYJ
497322,2016,0,4,1,0,DEN
497322,2015,0,29,3,0,DEN
497322,2014,0,44,8,0,DEN
497322,2013,0,25,1,0,PIT
2553486,2015,0,12,2,0,IND
2550448,2014,0,30,7,0,LA
2556075,2016,5,490,110,0,TEN
2535708,2016,1,31,9,0,DAL
2535708,2015,0,67,5,0,DAL
2535708,2014,0,99,29,0,DAL
2535708,2013,0,150,30,0,DAL
2550546,2016,0,6,2,0,CAR
2550546,2015,0,38,6,0,CAR
2550546,2014,0,95,8,0,CAR
2553733,2016,3,349,109,0,SEA
2553733,2015,4,830,147,1,SEA
2553728,2016,0,6,1,0,SF
2532917,2015,0,-1,2,1,DAL
89798,2016,0,47,10,2,TB
89798,2015,0,11,1,0,CHI
89798,2014,2,144,23,1,ATL
89798,2013,2,145,5,0,ATL
2539291,2014,0,19,4,0,PIT
2555460,2016,0,456,112,1,NYG
2508101,2014,0,5,3,0,NE
2508101,2013,1,10,4,0,NE
2532841,2014,0,2,1,0,ARI
2542065,2016,0,-3,3,0,LV
2542065,2014,0,3,2,0,LV
2542065,2013,0,27,11,2,LV
2495341,2015,0,47,10,1,HOU
2495467,2016,0,-8,1,0,LV
2495467,2015,0,74,16,1,LV
2495467,2013,0,23,5,0,LV
2553435,2016,16,1239,293,5,ARI
2553435,2015,8,581,125,2,ARI
2543770,2016,1,149,51,1,TB
2543770,2015,0,529,107,1,TB
2543770,2014,1,185,66,2,TB
2555260,2016,6,282,57,3,DAL
2533034,2016,5,1073,268,2,HOU
2533034,2015,8,872,194,1,MIA
2533034,2014,8,1099,216,2,MIA
2533034,2013,2,709,177,1,MIA
1037885,2016,0,15,1,0,TEN
1037885,2015,0,0,0,0,CHI
