Team ID,Wins,Losses,Tied,OSRS,DSRS,Year
NE,12,4,0,4.5,1.4,2013
NYJ,8,8,0,-4.7,-1.4,2013
MIA,8,8,0,-2.9,2.1,2013
BUF,6,10,0,-1.3,-1.9,2013
CIN,11,5,0,2.3,3.0,2013
PIT,8,8,0,-0.9,-1.0,2013
BAL,8,8,0,-5.0,1.4,2013
CLE,4,12,0,-4.8,-2.9,2013
IND,11,5,0,1.7,2.3,2013
TEN,7,9,0,-0.2,-0.6,2013
JAX,4,12,0,-7.1,-4.0,2013
HOU,2,14,0,-5.0,-2.6,2013
DEN,13,3,0,14.1,-2.7,2013
KC,11,5,0,1.7,4.3,2013
SD,9,7,0,0.5,2.1,2013
LV,4,12,0,-3.8,-4.2,2013
PHI,10,6,0,2.3,-0.5,2013
DAL,8,8,0,2.7,-3.4,2013
NYG,7,9,0,-6.2,0.8,2013
WAS,3,13,0,-3.9,-5.4,2013
GB,8,7,1,0.5,-3.6,2013
CHI,8,8,0,3.0,-7.1,2013
DET,7,9,0,-1.2,-0.5,2013
MIN,5,10,1,0.2,-6.9,2013
CAR,12,4,0,0.6,8.6,2013
NO,11,5,0,3.8,5.0,2013
ATL,4,12,0,1.2,-3.9,2013
TB,4,12,0,-2.9,0.3,2013
SEA,13,3,0,4.1,8.9,2013
SF,12,4,0,3.5,6.6,2013
ARI,10,6,0,2.7,3.7,2013
LA,7,9,0,0.4,1.8,2013
NE,12,4,0,7.5,3.5,2014
BUF,9,7,0,-0.4,5.3,2014
MIA,8,8,0,2.9,-0.4,2014
NYJ,4,12,0,-4.0,-1.0,2014
PIT,11,5,0,4.4,-2.1,2014
CIN,10,5,1,-0.5,1.3,2014
BAL,10,6,0,1.8,2.8,2014
CLE,7,9,0,-4.8,0.9,2014
IND,11,5,0,5.2,-0.8,2014
HOU,9,7,0,-0.8,2.5,2014
JAX,3,13,0,-7.8,-2.7,2014
TEN,2,14,0,-7.0,-4.9,2014
DEN,12,4,0,9.2,0.4,2014
SD,9,7,0,0.7,1.2,2014
KC,9,7,0,0.0,5.7,2014
LV,3,13,0,-4.3,-4.7,2014
DAL,12,4,0,5.3,0.1,2014
PHI,10,6,0,6.6,-2.7,2014
NYG,6,10,0,0.8,-2.5,2014
WAS,4,12,0,-4.0,-4.7,2014
GB,12,4,0,7.9,0.4,2014
DET,11,5,0,-3.2,5.2,2014
